channel_id,title,subscriber_count,total_views,video_count,country,niche,channel_age_months,avg_views,median_views,std_views,total_video_views,avg_likes,total_likes,avg_comments,total_comments,avg_engagement_rate,median_engagement_rate,er_stability,videos_collected,view_stability,view_consistency,posts_per_week,subscriber_view_ratio,size_band,er_band,match_quality,roi_band
UC7ndkZ4vViKiM7kVEgdrlZQ,Crypto Crew University,412000,54555883,1137,US,finance,104.53333333333333,35857.9,33454,23840.30368984711,1075737,2231.3,66939,160.76666666666668,4823,0.05757134,0.059467018274949796,0.016941970999687646,30,0.6648364475722097,0.6666666666666666,3.1343283582089554,0.087033527,mid,high,1,1
UCJxiyziwbma-0t5dCW-1OGw,DustyBC Crypto News,186000,41999968,5358,AE,finance,171.33333333333334,3094.0666666666666,2648,1893.4125537902655,92822,161.96666666666667,4859,72.76666666666667,2183,0.081847006,0.085072395,0.030345379799609662,30,0.6117517836310253,0.9666666666666667,7.777777777777778,0.016634677591339114,mid,high,1,1
UCBCbEDO5tMP6saX9yNU_zYQ,Lab Of Crypto,176000,6584012,343,VG,finance,0,56251.26666666667,48908,25113.752991254554,1687538,3503.0666666666666,105092,373.6666666666667,11210,0.06894434,0.068978596,0.010037645003717387,30,0.44644872961423576,0.9,1.320754716981132,0.3196076537443916,mid,high,1,2
UCNxmehN8BqmjdjVVY-CIDng,Molt Media,65500,21138019,1561,Unknown,finance,0,28843.1,19489,37104.08488651239,865293,1201.8,36054,254.56666666666666,7637,0.070683969,0.075001533,0.029268598066012876,30,1.2863665320295101,0.6666666666666666,10.5,0.4403459489168104,micro,high,1,2
UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,3310000,2514668808,151666,US,finance,92.36666666666666,4237.5,1823.5,5356.730537531652,127125,44.53333333333333,1336,19.4,582,0.017877379341574677,0.013416516,0.016302871231184964,30,1.263826952349098,0.4666666666666667,30,0.001280211,mega,low,1,0
UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,7090000,3143949600,10545,US,finance,159.93333333333334,124765.33333333333,60877.5,145331.30418136856,3742960,3233.7,97011,1058.0666666666666,31742,0.036104429788177066,0.035563026,0.015023001888319997,30,1.1648278850440574,0.5,30,0.017597364701829144,mega,medium,1,0
UC9o-KkHtUgAaakX1773UVMw,Zach Humphries,205000,52261710,8280,US,finance,163.6,3598.8,2184.5,3393.3172905702104,107964,249.23333333333332,7477,19.866666666666667,596,0.066700848,0.043019559042258876,0.089739246,30,0.9426405051864576,0.6,21,0.017555036316896016,mid,high,1,1
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,22000000,8054703641,1866,GB,finance,178.9,5696256.233333333,5043615,3256679.802856422,170887687,148451.93333333332,4453558,3983.6666666666665,119510,0.028341331,0.027277481,0.005139987,30,0.5717227416976532,0.8,2.058823529411765,0.258920726,mega,medium,1,1
UCBkGMys0mYl3Myxh3CTsASA,MMCrypto,621000,114436043,1781,AE,finance,101.06666666666666,50971.13333333333,50285,14616.498969299735,1529134,2927.4333333333334,87823,376.7,11301,0.06478522,0.068385007,0.02025335,30,0.2867547032751177,0.9666666666666667,5.384615384615385,0.082078988,mid,high,1,1
UCOb8ZvB7CK7-IEf-8RmhULg,CRYPTO with KLAUS,53000,20248122,3242,US,finance,0,9856.7,9981,2396.630280205939,295701,539.2666666666667,16178,157.73333333333332,4732,0.073134044,0.072230121,0.011718732,30,0.24312266352251932,0.9666666666666667,19.09090909090909,0.18597196279315487,micro,high,1,2
